cif,a,b,c,alpha,beta,gamma,sg,cs
1541682,10.927,10.927,10.927,90.0,90.0,90.0,206,6
1541689,9.806,9.806,9.806,90.0,90.0,90.0,220,6
1541696,12.196,12.196,12.196,90.0,90.0,90.0,221,6
1541698,9.09,9.09,9.09,90.0,90.0,90.0,217,6
1541702,10.727,10.727,10.727,90.0,90.0,90.0,206,6
1541708,10.032,10.032,10.032,90.0,90.0,90.0,206,6
1541710,5.752,11.294,16.689,90.0,90.0,90.0,69,2
1541724,12.298,12.298,12.298,90.0,90.0,90.0,221,6
1541726,4.55,4.55,4.55,90.0,90.0,90.0,216,6
1541729,8.15,8.15,8.15,90.0,90.0,90.0,201,6
1541732,10.66,10.66,10.66,90.0,90.0,90.0,223,6
1541734,9.45,9.45,18.84,90.0,90.0,90.0,142,3
1541735,5.605,5.605,22.7219,90.0,90.0,120.0,194,5
1541741,15.028,15.028,18.634,90.0,90.0,90.0,88,3
1541752,9.779,9.779,9.779,90.0,90.0,90.0,220,6
1541754,9.551,9.551,9.551,90.0,90.0,90.0,204,6
1541756,9.488,9.488,9.488,90.0,90.0,90.0,204,6
1541758,9.53,9.53,9.53,90.0,90.0,90.0,204,6
1541767,5.67,5.67,9.15,90.0,90.0,90.0,141,3
1541769,5.71,5.71,9.0,90.0,90.0,90.0,141,3
1541771,5.73,5.73,8.94,90.0,90.0,90.0,141,3
1541772,17.1253,17.1253,12.3033,90.0,90.0,120.0,161,4
1541773,17.138,17.138,12.587,90.0,90.0,120.0,161,4
1541774,10.411,10.411,10.411,90.0,90.0,90.0,217,6
1541775,10.339,10.339,10.339,90.0,90.0,90.0,217,6
1541779,9.29,9.29,9.29,90.0,90.0,90.0,217,6
1541783,6.046,6.046,28.062,90.0,90.0,120.0,166,4
1541789,12.258,12.258,12.258,90.0,90.0,90.0,221,6
1541790,12.237,12.237,12.237,90.0,90.0,90.0,221,6
1541796,8.938,8.938,8.938,90.0,90.0,90.0,221,6
1541798,11.82,11.82,11.82,90.0,90.0,90.0,223,6
1541799,8.957,11.131,12.378,90.0,90.0,90.0,62,2
1541801,4.892,4.892,4.892,90.0,90.0,90.0,223,6
1541804,6.7996,11.6246,12.3833,90.0,101.181,90.0,14,1
1541805,6.8008,11.6481,12.4809,90.0,101.384,90.0,14,1
1541806,6.7978,11.6895,12.6262,90.0,101.634,90.0,14,1
1541807,6.7973,11.6257,12.4032,90.0,101.153,90.0,14,1
1541809,14.194,14.194,9.934,90.0,90.0,90.0,139,3
1541810,12.67,12.67,5.19,90.0,90.0,120.0,173,5
1541812,8.285,8.285,8.285,90.0,90.0,90.0,205,6
1541813,8.307,8.307,8.307,90.0,90.0,90.0,205,6
1541814,6.68,6.68,6.68,90.0,90.0,90.0,217,6
1541817,3.738,3.738,28.223,90.0,90.0,90.0,139,3
1541820,26.055,7.5046,13.017,90.0,103.3,90.0,15,1
1541823,7.656,7.656,7.656,90.0,90.0,90.0,204,6
1541824,7.446,7.446,7.446,90.0,90.0,90.0,204,6
1541825,13.185,22.397,8.247,90.0,90.0,90.0,42,2
1541830,21.5404,21.5404,21.5404,90.0,90.0,90.0,217,6
1541831,21.734,21.734,21.734,90.0,90.0,90.0,217,6
1541832,22.1906,22.1906,22.1906,90.0,90.0,90.0,217,6
1541833,21.893,21.893,21.893,90.0,90.0,90.0,217,6
1541834,5.591,5.591,22.711,90.0,90.0,120.0,194,5
1541835,22.157,22.157,22.157,90.0,90.0,90.0,217,6
1541838,9.489,11.429,5.105,90.0,91.1,90.0,15,1
1541839,7.098,3.516,14.358,90.0,98.94,90.0,7,1
1541841,4.631,4.631,22.71,90.0,90.0,120.0,166,4
1541842,13.473,9.529,9.517,90.0,134.69,90.0,12,1
1541846,7.074,7.074,6.656,90.0,90.0,120.0,166,4
1541847,3.474,3.474,13.75,90.0,90.0,120.0,166,4
1541848,13.47,8.5292,9.7818,90.0,90.0,90.0,33,2
1541849,7.5743,17.45329,5.6353,90.0,90.0,90.0,40,2
1541852,10.844,6.0812,12.3062,90.0,92.355,90.0,14,1
1541853,12.7234,9.4731,7.8097,90.0,90.0,90.0,62,2
1541856,11.88,11.88,12.68,90.0,90.0,120.0,165,4
1541859,6.319,6.319,12.713,90.0,90.0,120.0,166,4
1541862,29.127,3.8417,10.8029,90.0,90.0,90.0,59,2
1541863,9.581,9.581,6.526,90.0,90.0,90.0,113,3
1541864,6.917,6.917,18.539,90.0,90.0,120.0,148,4
1541866,8.7597,6.7809,27.113,90.0,90.0,90.0,61,2
1541868,20.453,11.844,5.221,90.0,90.0,90.0,61,2
1541875,7.51,9.852,7.461,105.23,118.54,72.35,2,0
1541877,9.2199,9.2199,21.065,90.0,90.0,120.0,159,4
1541879,16.354,16.035,12.835,90.0,129.551,90.0,9,1
1541880,21.638,21.638,11.209,90.0,90.0,90.0,119,3
1541881,22.153,22.153,11.3435,90.0,90.0,90.0,119,3
1541882,22.169,22.169,11.3168,90.0,90.0,90.0,119,3
1541934,17.743,6.136,10.725,90.0,95.52,90.0,14,1
1541935,9.596,13.33,9.512,90.0,90.0,90.0,60,2
1541938,13.629,13.249,11.556,90.0,90.0,90.0,62,2
1541939,20.67,3.833,3.927,90.0,90.0,90.0,65,2
1541940,8.757,13.294,5.744,90.0,90.17,90.0,14,1
1541941,9.4817,9.5361,10.0521,71.005,84.676,89.373,2,0
1541944,14.4,12.1,5.64,90.0,90.0,111.3,12,1
1541945,8.59,4.898,12.0274,90.0,95.193,90.0,14,1
1541946,9.141,8.114,12.797,90.0,90.22,90.0,14,1
1541947,11.311,9.728,7.314,90.0,90.0,90.0,61,2
1541948,4.051,4.051,4.051,90.0,90.0,90.0,221,6
1541949,8.269,8.269,8.269,90.0,90.0,90.0,205,6
1541950,8.319,8.319,8.319,90.0,90.0,90.0,205,6
1541951,5.706,5.706,14.02,90.0,90.0,120.0,194,5
1541953,3.891,3.891,12.213,90.0,90.0,90.0,139,3
1541954,12.818,7.067,8.993,90.0,90.0,90.0,62,2
1541955,3.828,3.828,3.828,90.0,90.0,90.0,221,6
1541956,14.03,8.51,9.93,90.0,94.5,90.0,15,1
1541957,9.35,9.35,6.85,90.0,90.0,120.0,176,5
1541958,8.33,8.33,8.33,90.0,90.0,90.0,212,6
1541959,11.921,9.114,6.343,90.0,90.0,124.04,15,1
1541960,14.03,8.51,9.93,90.0,94.5,90.0,15,1
1541961,7.403,7.403,10.468,90.0,90.0,90.0,128,3
1541965,5.14,8.93,7.37,91.8,104.5,90.0,1,0
1541966,9.491,9.491,6.937,90.0,90.0,120.0,176,5
1541967,5.74,5.74,14.08,90.0,90.0,120.0,182,5
1541968,8.113,8.113,7.7556,90.0,90.0,120.0,194,5
1541969,3.755,3.755,3.755,90.0,90.0,90.0,221,6
1541970,7.629,16.886,6.76,90.0,90.0,90.0,62,2
1541971,8.282,9.237,8.058,107.81,98.63,71.52,2,0
1541974,20.83,21.76,11.41,90.0,90.0,90.0,43,2
1541975,4.2,4.2,8.0,90.0,90.0,90.0,141,3
1541976,4.0,4.0,4.0,90.0,90.0,90.0,221,6
1541977,7.694,5.827,7.158,90.0,90.0,90.0,62,2
1541978,4.01,4.01,4.01,90.0,90.0,90.0,221,6
1541979,7.669,5.821,7.12,90.0,90.0,90.0,62,2
1541980,3.87,3.87,3.87,90.0,90.0,90.0,221,6
1541981,7.66,5.8,7.112,90.0,90.0,90.0,62,2
1541984,12.37,12.144,6.433,90.0,90.0,90.0,33,2
1541985,9.22,9.22,7.38,90.0,90.0,120.0,190,5
1541986,11.755,11.755,6.712,90.0,90.0,120.0,194,5
1541987,8.25,8.25,8.25,90.0,90.0,90.0,205,6
1541989,10.0176,10.0176,14.089,90.0,90.0,120.0,165,4
1541990,3.76,3.76,3.76,90.0,90.0,90.0,221,6
1541992,12.94,11.52,4.68,90.0,100.5,90.0,12,1
1541993,7.297,9.925,5.337,90.0,95.13,90.0,14,1
1541994,11.906,6.884,14.171,90.0,90.0,90.0,33,2
1541995,5.728,5.728,14.05,90.0,90.0,120.0,194,5
1541996,7.4977,10.2895,9.4648,90.0,105.372,90.0,14,1
1541997,16.435,3.612,10.086,90.0,109.61,90.0,12,1
1541998,3.971,3.971,3.971,90.0,90.0,90.0,221,6
1541999,3.973,3.973,3.973,90.0,90.0,90.0,221,6
1542000,7.289,9.938,5.334,90.0,95.48,90.0,14,1
1542002,6.495,9.32,11.393,90.0,133.88,90.0,14,1
1542003,15.6,7.2,11.7,90.0,90.0,90.0,56,2
1542004,16.635,3.964,8.888,90.0,90.0,90.0,51,2
1542005,13.536,13.17,5.867,90.0,90.0,90.0,62,2
1542006,4.147,4.147,9.656,90.0,90.0,90.0,139,3
1542008,4.053,4.053,9.85,90.0,90.0,90.0,139,3
1542010,4.188,4.188,9.857,90.0,90.0,90.0,139,3
1542011,9.6782,11.9565,6.094,90.0,90.0,90.0,63,2
1542012,4.156,4.156,9.887,90.0,90.0,90.0,139,3
1542013,4.134,4.134,9.879,90.0,90.0,90.0,139,3
1542014,4.124,4.124,9.878,90.0,90.0,90.0,139,3
1542016,4.1,4.1,9.866,90.0,90.0,90.0,139,3
1542017,5.682,5.682,5.682,90.0,90.0,90.0,205,6
1542018,4.181,4.181,9.742,90.0,90.0,90.0,139,3
1542019,10.039,3.605,15.335,90.0,109.2,90.0,12,1
1542020,4.081,4.081,9.858,90.0,90.0,90.0,139,3
1542021,10.039,3.605,15.335,90.0,109.2,90.0,12,1
1542022,4.056,4.056,9.845,90.0,90.0,90.0,139,3
1542023,5.9578,8.5974,14.8775,90.0,102.14,90.0,14,1
1542024,4.042,4.042,9.844,90.0,90.0,90.0,139,3
1542025,4.022,4.022,9.833,90.0,90.0,90.0,139,3
1542026,13.23,5.27,18.35,90.0,92.9,90.0,15,1
1542027,4.022,4.022,9.841,90.0,90.0,90.0,139,3
1542028,4.088,4.088,9.721,90.0,90.0,90.0,139,3
1542029,4.02,4.02,4.02,90.0,90.0,90.0,221,6
1542031,10.915,11.18,3.902,90.0,90.0,108.73,11,1
1542032,3.926,3.926,3.926,90.0,90.0,90.0,221,6
1542034,9.19,9.19,9.19,90.0,90.0,90.0,197,6
1542036,9.4,9.4,9.4,90.0,90.0,90.0,217,6
1542037,8.916,7.832,9.425,90.0,93.65,90.0,15,1
1542038,9.42,9.42,9.42,90.0,90.0,90.0,217,6
1542041,17.511,9.13,6.274,90.0,90.0,90.0,14,1
1542043,17.81,8.36,4.46,90.0,102.0,90.0,12,1
1542044,9.169,7.958,8.548,90.0,90.0,90.0,61,2
1542045,5.535,10.661,11.772,90.0,90.0,90.0,62,2
1542046,9.218,9.213,9.159,90.0,90.0,90.0,61,2
1542047,13.172,8.29,9.053,90.0,105.18,90.0,14,1
1542048,3.8351,3.8351,3.8351,90.0,90.0,90.0,221,6
1542050,9.358,9.358,9.712,90.0,90.0,120.0,148,4
1542051,7.3,7.3,7.3,90.0,90.0,90.0,215,6
1542052,9.336,12.185,13.956,90.0,122.9,90.0,14,1
1542053,16.38,5.16,11.74,90.0,93.0,90.0,15,1
1542054,9.737,8.898,5.27,90.0,106.11,90.0,15,1
1542055,11.02,19.74,6.08,90.0,90.0,90.0,43,2
1542056,9.766,8.598,5.246,90.0,105.7,90.0,15,1
1542058,17.57,6.863,8.138,90.0,101.77,90.0,15,1
1542059,8.122,11.341,9.376,90.0,106.51,90.0,11,1
1542061,6.3346,6.3346,14.871,90.0,90.0,120.0,194,5
1542062,11.193,11.193,9.48,90.0,90.0,90.0,137,3
1542063,11.7547,11.7547,11.1769,90.0,90.0,120.0,148,4
1542064,6.973,6.973,18.684,90.0,90.0,120.0,148,4
1542065,11.77,13.74,6.5,90.0,94.783,90.0,9,1
1542066,7.4,14.4,7.05,90.0,90.0,90.0,51,2
1542068,9.652,8.868,5.194,90.0,108.48,90.0,14,1
1542069,3.997,3.997,3.997,90.0,90.0,90.0,221,6
1542070,11.1414,11.1414,19.405,90.0,90.0,90.0,122,3
1542072,11.5128,11.5128,18.912,90.0,90.0,90.0,122,3
1542073,11.6915,11.6915,19.898,90.0,90.0,90.0,122,3
1542074,12.021,8.396,7.4834,90.0,95.853,90.0,14,1
1542075,12.5373,12.5373,20.564,90.0,90.0,90.0,122,3
1542076,10.72,10.72,7.99,90.0,90.0,90.0,87,3
1542077,11.5313,11.5313,19.936,90.0,90.0,90.0,122,3
1542079,11.4416,11.4416,20.21,90.0,90.0,90.0,122,3
1542080,4.06,4.06,4.06,90.0,90.0,90.0,221,6
1542081,6.018,5.995,12.865,90.0,103.53,90.0,13,1
1542082,4.174,4.174,4.174,90.0,90.0,90.0,221,6
1542083,4.142,4.142,4.142,90.0,90.0,90.0,221,6
1542084,4.114,4.114,4.114,90.0,90.0,90.0,221,6
1542085,4.084,4.084,4.084,90.0,90.0,90.0,221,6
1542086,4.049,4.049,4.049,90.0,90.0,90.0,221,6
1542088,11.71,6.69,8.2,90.0,102.67,90.0,13,1
1542090,4.019,4.019,12.98,90.0,90.0,90.0,139,3
1542091,4.068,4.068,13.2,90.0,90.0,90.0,139,3
1542092,9.791,22.662,7.653,90.0,90.0,90.0,62,2
1542093,11.526,7.628,12.108,90.0,111.12,90.0,13,1
1542095,4.011,4.011,4.011,90.0,90.0,90.0,221,6
1542096,2.94,2.94,3.5,90.0,90.0,90.0,139,3
1542097,4.658,4.658,9.16,90.0,90.0,90.0,136,3
1542098,6.478,10.496,3.907,90.0,90.0,90.0,65,2
1542099,5.23,5.23,23.81999,90.0,90.0,120.0,160,4
1542100,6.35,6.35,7.38,90.0,90.0,90.0,140,3
1542102,6.232,6.232,7.32,90.0,90.0,90.0,140,3
1542103,5.625,9.592,7.476,90.0,93.12,90.0,14,1
